"","key_0","term","count","marca"
"172","s1006.nmf","heloÃ",2,1
"173","s1006.nmf","noite",1,1
"174","s1006.nmf","pedro",1,1
"175","s1006.nmf","plano",1,1
"176","s1006.nmf","quem",1,1
"177","s1006.nmf","vel",1,1
"178","s1006.nmf","velox",1,1
"179","s1007.nmf","atendimento",1,1
"180","s1007.nmf","avast",1,1
"181","s1007.nmf","baixar",1,1
"182","s1007.nmf","boa",1,1
"183","s1007.nmf","bom",1,1
"184","s1007.nmf","cliente",1,1
"185","s1007.nmf","com",2,1
"186","s1007.nmf","ele",1,1
"187","s1007.nmf","estÃ",1,1
"188","s1007.nmf","falando",1,1
"189","s1007.nmf","falo",1,1
"190","s1007.nmf","horas",1,1
"191","s1007.nmf","isabele",1,1
"192","s1007.nmf","josÃ",1,1
"193","s1007.nmf","lace",1,1
"194","s1007.nmf","mero",1,1
"195","s1007.nmf","meu",1,1
"196","s1007.nmf","muito",2,1
"197","s1007.nmf","noite",1,1
"198","s1007.nmf","nome",1,1
"199","s1007.nmf","oito",1,1
"200","s1007.nmf","oliveira",1,1
"201","s1007.nmf","para",1,1
"202","s1007.nmf","prÃ",1,1
"203","s1007.nmf","quando",1,1
"204","s1007.nmf","que",1,1
"205","s1007.nmf","quem",1,1
"206","s1007.nmf","sobrecarregado",1,1
"207","s1007.nmf","tem",1,1
"208","s1007.nmf","troca",1,1
"209","s1007.nmf","whatsapp",1,1
"210","s1007.nmf","ximo",1,1
"211","s1008.nmf","acontecendo",1,1
"212","s1008.nmf","agor",1,1
"213","s1008.nmf","bloqueado",1,1
"214","s1008.nmf","boa",1,1
"215","s1008.nmf","cheguei",1,1
"216","s1008.nmf","com",1,1
"217","s1008.nmf","conta",1,1
"218","s1008.nmf","demorando",1,1
"219","s1008.nmf","desbloquear",1,1
"220","s1008.nmf","empurrei",1,1
"221","s1008.nmf","falo",1,1
"222","s1008.nmf","muito",1,1
"223","s1008.nmf","mundo",1,1
"224","s1008.nmf","noite",1,1
"225","s1008.nmf","pagamento",1,1
"226","s1008.nmf","para",1,1
"227","s1008.nmf","pedi",2,1
"228","s1008.nmf","que",3,1
"229","s1008.nmf","quem",1,1
"230","s1008.nmf","queria",1,1
"231","s1008.nmf","sabe",1,1
"232","s1008.nmf","serviÃ",1,1
"233","s1008.nmf","tainara",1,1
"234","s1008.nmf","telefone",1,1
"235","s1008.nmf","todo",1,1
"236","s1008.nmf","trem",1,1
"237","s1008.nmf","ver",1,1
"238","s1008.nmf","vocÃ",1,1
"239","s1009.nmf","acabei",1,1
"240","s1009.nmf","aquela",1,1
"241","s1009.nmf","aqui",1,1
"242","s1009.nmf","atraso",1,1
"243","s1009.nmf","boa",1,1
"244","s1009.nmf","com",1,1
"245","s1009.nmf","conta",1,1
"246","s1009.nmf","cristalizado",1,1
"247","s1009.nmf","dos",1,1
"248","s1009.nmf","entendeu",1,1
"249","s1009.nmf","essa",1,1
"250","s1009.nmf","falo",1,1
"251","s1009.nmf","giovani",1,1
"252","s1009.nmf","internet",2,1
"253","s1009.nmf","mas",2,1
"254","s1009.nmf","meu",1,1
"255","s1009.nmf","noite",1,1
"256","s1009.nmf","nome",1,1
"257","s1009.nmf","pagar",1,1
"258","s1009.nmf","porque",1,1
"259","s1009.nmf","quem",1,1
"260","s1009.nmf","rendimentos",1,1
"261","s1009.nmf","serviÃ",1,1
"262","s1009.nmf","tem",1,1
"263","s1009.nmf","uma",1,1
"264","s1009.nmf","utilizaÃ",1,1
"265","s100.nmf","ajudar",1,1
"266","s100.nmf","alg",1,1
"267","s100.nmf","atendimento",1,1
"268","s100.nmf","caroline",1,1
"269","s100.nmf","com",2,1
"270","s100.nmf","contato",1,1
"271","s100.nmf","entrei",1,1
"272","s100.nmf","especializado",1,1
"273","s100.nmf","fala",1,1
"274","s100.nmf","falo",1,1
"275","s100.nmf","faz",1,1
"276","s100.nmf","gentileza",1,1
"277","s100.nmf","guardei",1,1
"278","s100.nmf","infelizmente",1,1
"279","s100.nmf","internet",1,1
"280","s100.nmf","liguei",1,1
"281","s100.nmf","plano",1,1
"282","s100.nmf","por",1,1
"283","s100.nmf","porque",1,1
"284","s100.nmf","posso",1,1
"285","s100.nmf","protocolo",1,1
"286","s100.nmf","qual",1,1
"287","s100.nmf","que",1,1
"288","s100.nmf","quica",2,1
"289","s100.nmf","telefone",1,1
"290","s100.nmf","tenho",1,1
"291","s100.nmf","vai",1,1
"292","s100.nmf","vocÃ",1,1
"293","s1010.nmf","atendimento",1,1
"294","s1010.nmf","boa",1,1
"295","s1010.nmf","cancela",2,1
"296","s1010.nmf","cancelamento",1,1
"297","s1010.nmf","cancelar",1,1
"298","s1010.nmf","cancelou",1,1
"299","s1010.nmf","com",3,1
"300","s1010.nmf","como",1,1
"301","s1010.nmf","falo",1,1
"302","s1010.nmf","fixo",1,1
"303","s1010.nmf","hora",1,1
"304","s1010.nmf","mas",2,1
"305","s1010.nmf","noite",1,1
"306","s1010.nmf","outra",1,1
"307","s1010.nmf","para",1,1
"308","s1010.nmf","pedro",1,1
"309","s1010.nmf","personalizado",1,1
"310","s1010.nmf","pess",1,1
"311","s1010.nmf","que",2,1
"312","s1010.nmf","quem",1,1
"313","s1010.nmf","somente",1,1
"314","s1010.nmf","tem",1,1
"315","s1010.nmf","transferir",1,1
"316","s1010.nmf","tudo",1,1
"317","s1010.nmf","velox",1,1
"318","s1010.nmf","vinculado",1,1
"319","s1010.nmf","viu",1,1
"320","s1010.nmf","voltar",1,1
"321","s1011.nmf","ajudar",1,1
"322","s1011.nmf","boa",1,1
"323","s1011.nmf","central",1,1
"324","s1011.nmf","com",3,1
"325","s1011.nmf","conta",1,1
"326","s1011.nmf","contato",1,1
"327","s1011.nmf","desde",1,1
"328","s1011.nmf","entra",1,1
"329","s1011.nmf","entrou",1,1
"330","s1011.nmf","falo",1,1
"331","s1011.nmf","fazer",1,1
"332","s1011.nmf","gente",1,1
"333","s1011.nmf","mais",1,1
"334","s1011.nmf","minha",1,1
"335","s1011.nmf","noite",1,1
"336","s1011.nmf","nus",1,1
"337","s1011.nmf","ontem",1,1
"338","s1011.nmf","operadora",1,1
"339","s1011.nmf","para",1,1
"340","s1011.nmf","posso",1,1
"341","s1011.nmf","precarizado",1,1
"342","s1011.nmf","problema",1,1
"343","s1011.nmf","que",2,1
"344","s1011.nmf","quem",1,1
"345","s1011.nmf","resolver",1,1
"346","s1011.nmf","seu",1,1
"347","s1011.nmf","tenho",1,1
"348","s1011.nmf","uma",1,1
"349","s1011.nmf","vai",1,1
"350","s1011.nmf","vez",1,1
"351","s1011.nmf","vir",1,1
"352","s1011.nmf","vocÃ",1,1
"353","s1011.nmf","warley",1,1
"354","s1012.nmf","alguns",1,1
"355","s1012.nmf","atendimento",1,1
"356","s1012.nmf","boa",2,1
"357","s1012.nmf","causa",1,1
"358","s1012.nmf","com",1,1
"359","s1012.nmf","como",1,1
"360","s1012.nmf","deus",1,1
"361","s1012.nmf","eliane",2,1
"362","s1012.nmf","falo",1,1
"363","s1012.nmf","falou",1,1
"364","s1012.nmf","ficou",1,1
"365","s1012.nmf","funcionar",1,1
"366","s1012.nmf","gente",1,1
"367","s1012.nmf","gentileza",1,1
"368","s1012.nmf","hoje",1,1
"369","s1012.nmf","internet",1,1
"370","s1012.nmf","margareth",1,1
"371","s1012.nmf","meu",2,1
"372","s1012.nmf","minha",1,1
"373","s1012.nmf","minutos",1,1
"374","s1012.nmf","noite",2,1
"375","s1012.nmf","nome",1,1
"376","s1012.nmf","ontem",1,1
"377","s1012.nmf","por",2,1
"378","s1012.nmf","porque",1,1
"379","s1012.nmf","que",3,1
"380","s1012.nmf","quem",1,1
"381","s1012.nmf","quis",1,1
"382","s1012.nmf","telefone",1,1
"383","s1012.nmf","vai",1,1
"384","s1012.nmf","voltar",1,1
"385","s1013.nmf","aqui",1,1
"386","s1013.nmf","atendimento",1,1
"387","s1013.nmf","caetano",1,1
"388","s1013.nmf","cef",1,1
"389","s1013.nmf","com",1,1
"390","s1013.nmf","como",1,1
"391","s1013.nmf","dessa",1,1
"392","s1013.nmf","entendi",1,1
"393","s1013.nmf","especializado",1,1
"394","s1013.nmf","falo",1,1
"395","s1013.nmf","fixo",1,1
"396","s1013.nmf","forma",1,1
"397","s1013.nmf","gentileza",2,1
"398","s1013.nmf","janine",1,1
"399","s1013.nmf","manhÃ",1,1
"400","s1013.nmf","mero",1,1
"401","s1013.nmf","mesmo",2,1
"402","s1013.nmf","meu",1,1
"403","s1013.nmf","nome",3,1
"404","s1013.nmf","por",2,1
"405","s1013.nmf","quem",1,1
"406","s1013.nmf","querida",1,1
"407","s1013.nmf","rua",1,1
"408","s1013.nmf","seu",1,1
"409","s1013.nmf","telefone",1,1
"410","s1013.nmf","wagner",2,1
"411","s1014.nmf","acreditei",1,1
"412","s1014.nmf","agora",1,1
"413","s1014.nmf","atÃ",1,1
"414","s1014.nmf","bloqueado",1,1
"415","s1014.nmf","boa",2,1
"416","s1014.nmf","caiu",1,1
"417","s1014.nmf","com",1,1
"418","s1014.nmf","daiane",1,1
"419","s1014.nmf","dela",1,1
"420","s1014.nmf","desbloquei",1,1
"421","s1014.nmf","desde",1,1
"422","s1014.nmf","especializado",1,1
"423","s1014.nmf","estado",1,1
"424","s1014.nmf","falo",1,1
"425","s1014.nmf","fatura",1,1
"426","s1014.nmf","feito",1,1
"427","s1014.nmf","financeiro",1,1
"428","s1014.nmf","foi",2,1
"429","s1014.nmf","nada",1,1
"430","s1014.nmf","nem",1,1
"431","s1014.nmf","noite",2,1
"432","s1014.nmf","ontem",1,1
"433","s1014.nmf","pagamento",1,1
"434","s1014.nmf","quando",1,1
"435","s1014.nmf","que",2,1
"436","s1014.nmf","quem",1,1
"437","s1014.nmf","referente",1,1
"438","s1014.nmf","sistema",1,1
"439","s1014.nmf","solicitar",1,1
"440","s1014.nmf","vou",1,1
"441","s1015.nmf","anterior",1,1
